"Countryname","Country"," ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_AV","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","  ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","   ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_ALT","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_SQ","EMERGING_RISK_FOOD_SECURITY_SQ","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_SQ","EMERGING_RISK_FISCAL_SQ","EMERGING_RISK_NATURAL_HAZARDS_SQ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_SQ","    ","TOTAL_EMERGING_COMPOUND_RISK_SCORE_SQ"
"Fiji","FJI",NA,1.58489319246111,6.6708053807488,4.661384971728,NA,7.17042774809075,8.38094775349498,NA,0,9.41275730060007,0,0,8.86667425853945,10,10,6.90758539669314,NA,4
"France","FRA",NA,4.44268623555416,5.31184903081056,2.63124121644418,NA,3.05515569263131,7.92054560841883,NA,3.16227766016838,1.89736659610103,1.06696764602335,0,4.60285980365028,10,0,2.80291655060841,NA,1
"Micronesia","FSM",NA,NA,NA,1.90871385903056,NA,7.00669498591808,7.77777777777778,NA,NA,NA,NA,NA,NA,10,2.33473417383764,7.00669498591808,NA,2
"Gabon","GAB",NA,0.297314691720117,6.63259591309067,2.16682590587791,NA,7.72529874271293,7.54256658606643,NA,1.86675169874354,6.90065559342353,4.3205922033253,0,0,10,2.17463811620306,6.84752798323834,NA,1
"United Kingdom","GBR",NA,4.69710407102384,0,1,NA,2.11714692019329,2.9395621512439,NA,6.90065559342353,0,0,0,5.69421734950122,10,0,0,NA,1
"Georgia","GEO",NA,3.76358251161549,9.05380274102504,2.15995194290133,NA,6.3473533730017,6.38284738504226,NA,9.75900072948531,6,5.92725928453844,4.88367427913615,9.70483719160565,10,3.38869988659863,5.071073526256,NA,2
"Ghana","GHA",NA,0.824822851798244,5.23207710478668,4.04500335906484,NA,6.19032154350263,7.30152891146668,NA,1.22357789173508,5.7321150422111,2.90563030218437,6.59285163383686,4.58964809748522,10,2.81502234674138,6.23504251692095,NA,1
"Guinea","GIN",NA,1.22748729175725,3.43432171368294,5.42195789870556,NA,9.90295724191303,9.80685621351577,NA,1.66933120340652,5.96018535985328,3.52891070691972,NA,5.63537131720046,8.36660026534076,3.13521446201054,10,NA,2
"Gambia","GMB",NA,2.08227614424761,3.00833295842603,2.46762008666673,NA,6.73696423022081,5.61361655485766,NA,4.74592557082488,8.25775249026488,5.82930759928708,5.67953824715789,6.52243302868739,10,4.24254552731639,7.73884209109822,NA,3
"Guinea-Bissau","GNB",NA,1.1229106062015,7.3435424116769,2.89975287332996,NA,9.842242048303,9.75264724596711,NA,10,10,10,NA,9.75264724596711,10,2.54819558401708,9.9662730911108,NA,4
"Equatorial Guinea","GNQ",NA,0.119452279950607,0.88722301722869,1.54406063016055,NA,8.60676365822473,7.45785934188331,NA,0.305400000000001,1.74756974109762,1.74756974109762,6.17966682587706,0,10,1.88112867720632,7.51383203583303,NA,2
"Greece","GRC",NA,1.47277616789938,8.71294797269765,1.98894291697684,NA,5.60084060044673,9.0267093384844,NA,5.05936190217133,4.17328359927767,4.04874456628658,0.415195515277932,7.84464540552736,10,0,5.32130242721961,NA,2
