"","Countryname","Country","EMERGING_RISK_COVID_RESPONSE_CAPACITY_AV","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_ALT","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_SQ","EMERGING_RISK_FOOD_SECURITY_SQ","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_SQ","EMERGING_RISK_FISCAL_SQ","EMERGING_RISK_NATURAL_HAZARDS_SQ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_SQ","TOTAL_EMERGING_COMPOUND_RISK_SCORE_SQ","EXISTING_RISK_COVID_RESPONSE_CAPACITY","EXISTING_RISK_FOOD_SECURITY","EXISTING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EXISTING_RISK_FISCAL","EXISTING_RISK_SOCIOECONOMIC_VULNERABILITY","EXISTING_RISK_NATURAL_HAZARDS","EXISTING_RISK_FRAGILITY_INSTITUTIONS","TOTAL_EXISTING_COMPOUND_RISK_SCORE","TOTAL_EXISTING_COMPOUND_RISK_SCORE_INCMEDIUM","EMERGING_RISK_COVID_RESPONSE_CAPACITY","EMERGING_RISK_FOOD_SECURITY","EMERGING_RISK_FISCAL","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","TOTAL_EMERGING_COMPOUND_RISK_SCORE","TOTAL_EMERGING_COMPOUND_RISK_SCORE_INCMEDIUM","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","RELIABILITY_SCORE_EXISTING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"132","Australia","AUS",0.997137726033927,5.77945221530955,1.45796053281789,1.22714257372711,2.93379325398754,0,0,1.14577634566987,5.44617716576345,10,0,0.845994506762865,1,0,0.885167464114833,3.15196998123827,NA,0,2.25,0.336700336700337,0,1,7.14285714285711,1.48311306901615,10,9.41025641025641,0,2.12564891525464,1,2,4.47246032187314,0.2,0.4
"133","Austria","AUT",3.57072008677243,8.26233218112194,0.468543144927459,1.20294113875247,4.87950036474266,4.79583152331272,3.35005236360689,0,4.14487252510697,10,0,0,1,2.3,0,1.80112570356473,NA,1.45833333333333,0.25,0,0,0.5,10,0.853786448500104,10,9.53846153846154,0,0.219532678658513,2,2.5,1.4470673833031,0.2,0.4
"134","Belgium","BEL",3.18843108837416,8.08856004514518,0.415111600525707,1.02819412263657,4.87950036474266,4.24264068711929,2.96362964226922,0,4.14417608344447,10,0,0.380852358885344,1,1.8,0,1.87617260787992,NA,3.54166666666667,1.25,0.841750841750841,0,0.5,10,1.77679882525698,10,9.15384615384616,0,0.172317640891015,2,2.5,1.25593358674337,0.2,0.4
"135","Chile","CHL",4.10169582702079,0,1.87101647861406,3.38184305456036,6.90065559342353,4.83735464897913,4.01839944363562,3.33198055864021,3.89425827475057,10,0,3.34251428061825,1,2.34,3.42105263157895,2.66416510318949,NA,3.95833333333333,4.125,2.05673758865248,0,0,10,3.24522760646109,10,5.69230769230769,0,5.4320987654321,2,2,5.56068139600214,0.1,0.2
"136","Cuba","CUB",1.0211879260478,NA,3.08717721138751,6.73721536853215,2.23798378648537,5.75698333703138,3.94669065850596,3.60031547476069,NA,NA,10,6.73721536853215,1,6.96,4.33014354066985,9.83114446529081,NA,3.95833333333333,3.5,4.53900709219858,0,0,4.76190476190474,2.99349695825467,NA,NA,10,10,2,2,10,0.1,0.5
"137","Czech Republic","CZE",4.70070835868278,4.51298289941646,5.42943660659577,4.08853621784139,6.90065559342353,6,4.98421108464767,0,3.96986774416873,10,0,3.88447721544501,1,3.6,0,1.57598499061914,NA,3.54166666666667,0,1.85185185185185,0,0.5,10,2.61590098594504,10,10,0,8.14814814814815,3,3.5,9.0267093384844,0.2,0.4
"138","Dominican Republic","DOM",3.25280244500077,0,2.32107163395235,6.43076691717938,4.87950036474266,7.96241169495775,5.56201692845936,4.24142758399719,5.52610497073592,10,3.64218531118671,6.76968662049936,2,6.34,4.5933014354067,4.82176360225141,NA,6.45833333333333,4.75,5.89225589225589,0,0.5,10,3.91650933501154,10,6.33333333333333,3.64218531118671,7.77777777777778,2,2.5,7.01849408771278,0.1,0.2
"139","Estonia","EST",1.98050218285855,6.38129512581427,0.25844383899889,3.8304847244293,5.2316452439146,4.30945803685666,3.68812657512971,2.66630505536231,5.74635866429225,10,0,3.75748967500055,1,2.6,2.2488038277512,3.30206378986867,NA,0.625,0,1.52482269503546,0,1,7.14285714285711,3.16131739039228,10,10,0,9.25925925925926,2,3,9.62250448649377,0.2,0.4
"140","Iceland","ISL",0.376405526000277,5.86950565376967,0.46910208082577,0.499735793921385,4.64004310324806,5.81868910126179,4.68975525047905,1.36194992322504,7.19599638531635,10,0,0.192474915167839,2,4.74,0.55023923444976,5.17823639774859,NA,0,0.25,0.16835016835017,0,0.5,7.14285714285711,3.3710929305643,10,10,0,0.220056762235068,2,2.5,1.48343103053384,0.2,0.4
"141","India","IND",3.07785796890812,3.79173522528959,0.981210813659244,4.41555671303555,8.45154254728515,6.85565460040104,6.30255900188488,4.73157136443393,2.43533322930813,10,6.08365019011407,2.55113060332126,1,4.7,7.17703349282296,0.712945590994371,NA,5.625,8,7.02127659574468,0,0.5,10,3.11936228235788,10,8.3187946074544,6.08365019011407,0.926935047559112,2,2.5,2.77686554861686,0.1,0.2
